title,organization,created,updated,num_resources,notes,year
CA Surgeon Risk-Adjusted Operative Mortality Rates for Coronary Artery Bypass Graft (CABG) Surgery,Department of Health Care Access and Information,2025-06-11 07:27:18.465067,2026-04-14T07:21:15.461147,4,This dataset provides performance ratings for California Surgeons for Risk-Adjusted Operative Mortality Rates for Coronary Artery Bypass Graft (CABG) Surgery from 2011 to 2018. It also includes the number of isolated CABG surgery cases and deaths that each surgeon performed as well as the location of hospitals where the surgeon performed CABG surgery.,2025
Case Mix Index,Department of Health Care Access and Information,2025-02-01 07:17:34.540137,2026-04-14T07:21:16.493033,4,"The Case Mix Index (CMI) is the average relative DRG weight of a hospital’s inpatient discharges, calculated by summing the Medicare Severity-Diagnosis Related Group (MS-DRG) weight for each discharge and dividing the total by the number of discharges.  The CMI reflects the diversity, clinical complexity, and resource needs of all the patients in the hospital.  A higher CMI indicates a more complex and resource-intensive case load.  Although the MS-DRG weights, provided by the Centers for Medicare & Medicaid Services (CMS), were designed for the Medicare population, they are applied here to all discharges regardless of payer.  Note: It is not meaningful to add the CMI values together.",2025
CalWORKs Welfare-to-Work Monthly Activities,California Department of Social Services,2022-06-22 23:27:37.593002,2026-04-14T06:27:27.836351,3,"CalWORKs Welfare-to-Work (WTW) Monthly Activity Report.  These data provide detailed counts of CalWORKs WTW enrollees, including exemptions and the type of activity individuals are enrolled in as part of their WTW plan requirements.  In addition to activities, the data include information on clients' nonparticipation status, supportive service participation, and postemployment/job-retention service participation.  These items are categorized by adults in two-parent families, adults in all other families, as well as a grand total.  See the WTW 25 and WTW 25A reports posted on the California Department of Social Services' Research and Data Reports homepage (http://www.cdss.ca.gov/inforesources/Research-and-Data/CalWORKs-Data-Tables) for more information.",2022
California Statewide Inpatient Mortality Rates,Department of Health Care Access and Information,2025-03-28 07:24:21.439630,2026-04-14T07:21:17.271365,3,"The dataset contains risk-adjusted mortality rates, and number of deaths and cases for 6 medical conditions treated (Acute Stroke, Acute Myocardial Infarction, Heart Failure, Gastrointestinal Hemorrhage, Hip Fracture and Pneumonia) and 6 procedures performed (Abdominal Aortic Aneurysm Repair, Carotid Endarterectomy, Craniotomy, Esophageal Resection, Pancreatic Resection, Percutaneous Coronary Intervention) in California hospitals. The 2014 and 2015 IMIs were generated using AHRQ Version 5.0, while the 2012 and 2013 IMIs were generated using AHRQ Version 4.5.  The differences in the statistical method employed and inclusion and exclusion criteria using different versions can lead to different results. Users should not compare trends of mortality rates over time.  However, many hospitals showed consistent performance over years; “better” performing hospitals may perform better and “worse” performing hospitals may perform worse consistently across years. This dataset does not include conditions treated or procedures performed in outpatient settings. Please refer to hospital table for hospital rates: https://data.chhs.ca.gov/dataset/california-hospital-inpatient-mortality-rates-and-quality-ratings",2025
California Independent Living and Traumatic Brain Injury Center Locations,California Department of Rehabilitation,2019-08-14 14:46:37.144835,2026-04-14T01:16:30.859848,3,"This dataset include individual locations of the Independent Living Section of the Department of Rehabilitation (DOR).  Independent Living Centers (ILC) and Traumatic Brain Injury (TBI) locations are dedicated to the ideal that communities become fully accessible and integrated so that all persons with disabilities can live, work, shop, and play where they choose, without barriers.  This data is public information and also shared on the DOR website.",2019
California Diagnostic Catheterization Volume by Sociodemographic Categories,Department of Health Care Access and Information,2023-11-08 07:20:14.264844,2026-04-14T07:21:18.057204,3,"This dataset contains the volume of California statewide DxCath procedures by year, age group, health insurance payment source, race/ethnicity, sex, and the percent decreases from 2019 to 2023.",2023
"California Adults Who Met Physical Activity Guidelines for Americans, 2013",California Department of Public Health,2025-05-10 18:12:36.349089,2026-04-14T18:13:07.376398,3,"This dataset is from the 2013 California Dietary Practices Survey of Adults. This survey has been discontinued. Adults were asked a series of eight questions about their physical activity practices in the last month. These questions were borrowed from the Behavior Risk Factor Surveillance System. Data displayed in this table represent California adults who met the aerobic recommendation for physical activity, as defined by the 2008 U.S. Department of Health and Human Services Physical Activity Guidelines for Americans and Objectives 2.1 and 2.2 of Healthy People 2020.

The California Dietary Practices Surveys (CDPS) (now discontinued) was the most extensive dietary and physical activity assessment of adults 18 years and older in the state of California. CDPS was designed in 1989 and was administered biennially in odd years up through 2013.  The CDPS was designed to monitor dietary trends, especially fruit and vegetable consumption, among California adults for evaluating their progress toward meeting the 2010 Dietary Guidelines for Americans and the Healthy People 2020 Objectives. For the data in this table, adults were asked a series of eight questions about their physical activity practices in the last month. Questions included: 1) During the past month, other than your regular job, did you participate in any physical activities or exercise such as running, calisthenics, golf, gardening or walking for exercise?  2) What type of physical activity or exercise did you spend the most time doing during the past month?  3) How many times per week or per month did you take part   n this activity during the past month?  4) And when you took part in this activity, for how many minutes or hours did you usually keep at it?  5) During the past month, how many times per week or per month did you do physical activities or exercises to strengthen your muscles? Questions 2, 3, and 4 were repeated to collect a second activity. Data were collected using a list of participating CalFresh households and random digit dial, approximately 1,400-1,500 adults (ages 18 and over) were interviewed via phone survey between the months of June and October. Demographic data included gender, age, ethnicity, education level, income, physical activity level, overweight status, and food stamp eligibility status. Data were oversampled for low-income adults to provide greater sensitivity for analyzing trends among our target population.",2025
DFA256 - Food Stamp Program Participation and Benefit Issuance Report,California Department of Social Services,2022-06-22 23:27:36.334602,2026-04-14T06:27:32.266583,3,"This report provides information on the number of persons and households participating in the Supplemental Nutrition Assistance Program (SNAP) - known as CalFresh in California - on a monthly basis, by county. Caseload figures are broken out by public assistance/non-public assistance status as well as federal/state funding status. Benefit issuance dollar amounts are also provided.",2022
Behavioral Health and Workforce,Department of Health Care Access and Information,2025-06-06 07:17:44.851717,2026-04-14T07:21:18.809313,2,"The dataset contains a ratio of the number of patient encounters (i.e., Inpatient Hospitalizations and Emergency Department visits) with a behavioral health diagnosis, per healthcare provider license with a specialty in behavioral health. The ratio is categorized based on the values of the Numerator to Denominator. Larger ratios may indicate a greater need for providers specializing in behavioral health. Smaller ratios may indicate a lower need for providers specializing in behavioral health. The dataset also contains the numbers of the top ten behavioral health diagnoses, by diagnosis category, that were present during the encounters. The table is broken down by county, and it is limited to hospital Inpatient and Emergency Department settings.",2025
Asthma ED Visit Rates (LGHC Indicator),California Department of Public Health,2024-07-05 18:11:43.570073,2026-04-14T18:13:08.895981,5,"This is a source dataset for a Let's Get Healthy California indicator at https://letsgethealthy.ca.gov/.

This dataset contains counts and rates (per 10,000 residents) of asthma (ICD9-CM, 493.0-493.9) emergency department visits among California residents by County and age group (all ages, 0-17, 18+). The data are derived from the Department of Health Care Access and Information emergency department databases. 

These data include emergency department visits from all licensed hospitals in California. These data are based only on primary discharge diagnosis codes (ICD9-CM).

Starting in 2019, HCAI classified non-Hispanic individuals who identified with two or more races as ""Multiracial."" Previously these were assigned to a single other race.

NOTE: Rates are calculated from the total number of Asthma ED Visits (not the unique number of individuals).",2024
Asthma Deaths by County,California Department of Public Health,2023-12-08 18:02:52.182158,2026-04-14T18:13:10.237453,2,"This dataset contains counts and rates (per 1,000,000 residents) of asthma deaths among Californians statewide and by county. The data are stratified by age group (all ages, 0-17, 18+) and reported for 3-year periods. The data are derived from the California Death Statistical Master Files, which contain information collected from death certificates. All deaths with asthma coded as the underlying cause of death (ICD-10 CM J45 or J46) are included.",2023
Approved research projects by the Committee for the Protection of Human Subjects,California Health and Human Services Agency,2024-08-21 16:46:28.014233,2026-04-14T00:08:12.158702,13,This dataset contains research projects approved by the California Health and Human Services Agency (CalHHS) Committee for the Protection of Human Subjects (CPHS).  CPHS is the CalHHS institutional review board and reviews all research involving human participants conducted or supported by the CalHHS and all research using private information held by CalHHS and all other state agencies.,2024
Annual Miles Traveled,California Department of Public Health,2024-11-13 18:08:28.303495,2026-04-14T18:13:12.698407,3,"This table contains data on the annual miles traveled by place of occurrence and by mode of transportation (vehicle, pedestrian, bicycle), for California, its regions, counties, and cities/towns.  The ratio uses data from the California Department of Transportation, the U.S. Department of Transportation, and the U.S. Census Bureau. The table is part of a series of indicators in the Healthy Communities Data and Indicators Project of the Office of Health Equity. 
Miles traveled by individuals and their choice of mode – car, truck, public transit, walking or bicycling – have a major impact on mobility and population health. Miles traveled by automobile offers extraordinary personal mobility and independence, but it is also associated with air pollution, greenhouse gas emissions linked to global warming, road traffic injuries, and sedentary lifestyles. Active modes of transport – bicycling and walking alone and in combination with public transit – offer opportunities for physical activity, which has many documented health benefits.  More information about the data table and a data dictionary can be found in the About/Attachments section.",2024
Annual Beneficiary Grievance and Appeal Report (ABGAR),California Department of Health Care Services,2023-08-11 01:22:19.839391,2026-04-14T16:12:31.767154,5,"The Annual Beneficiary Grievance and Appeal Report Statewide Summary includes aggregate and county-specific totals of Specialty Mental Health Services (SMHS) Medi-Cal beneficiary grievances, appeals, expedited appeals by category, and Notices of Adverse Benefit Determinations (NOABD) issued by County Mental Health Plans (MHP). The report was compiled from data reported by each MHP that are used to compile the statewide summary.",2023
Ambulatory Surgery - Characteristics by Facility (Pivot Profile),Department of Health Care Access and Information,2023-08-11 01:16:35.254774,2026-04-14T07:21:19.587196,12,"This dataset contains annual Excel pivot tables that display summaries of the patients treated in each hospital-based and freestanding Ambulatory Surgery Clinic licensed by the California Department of Public Health (CDPH).  The summary data includes discharge disposition, expected payer, preferred language spoken, age groups, race groups, sex, principal diagnosis groups, principal procedure groups, and principal external cause of injury/morbidity groups.  The data can also be summarized statewide or for a specific facility county, type of control, and/or type of license (hospital or clinic).  Note: Physician-owned ambulatory surgery clinics do not report their data to HCAI and, therefore, are not included in the statewide frequencies.",2023
Ambulatory Surgery - Characteristics by Patient County of Residence,Department of Health Care Access and Information,2025-03-15 07:20:43.094766,2026-04-14T07:21:20.479895,6,"This dataset contains annual ambulatory surgery summary data based upon the Patient’s County of Residence.  The summary data includes discharge disposition, expected payer, sex, and race group.  Physician-owned ambulatory surgery clinics do not report their data to HCAI and, therefore, are not included in the frequencies.",2025
AHRQ Pediatric Quality Indicators for California Hospitals,Department of Health Care Access and Information,2024-10-24 07:23:13.911796,2026-04-14T07:21:22.034480,12,"The Pediatric Quality Indicators (PDIs), developed by the federal Agency for Healthcare Research and Quality (AHRQ), identify potential quality and patient safety issues specific to the pediatric inpatient population. HCAI will report hospital-level results on five PDIs - Accidental Puncture or Laceration, Neonatal Blood Stream Infection, Postoperative Respiratory Failure, Postoperative Sepsis, and Central Venous Catheter-Related Blood Stream Infection. The results were generated with the AHRQ software version 2024. This dataset does not include complications acquired in outpatient settings.",2024
MHS Dashboard Adult Demographic Datasets,California Department of Health Care Services,2023-08-11 01:21:33.851554,2026-04-14T16:12:33.569277,21,"The following datasets are based on the adult (age 21 and over) beneficiary population and consist of aggregate MHS data derived from Medi-Cal claims, encounter, and eligibility systems.  These datasets were developed in accordance with California Welfare and Institutions Code (WIC) § 14707.5 (added as part of Assembly Bill 470 on 10/7/17).  Please contact BHData@dhcs.ca.gov for any questions or to request previous years’ versions of these datasets. Note: The Performance Dashboard AB 470 Report Application Excel tool development has been discontinued.  Please see the Behavioral Health reporting data hub at <a href='https://behavioralhealth-data.dhcs.ca.gov/' target='_blank' rel='nofollow ugc noopener noreferrer'>https://behavioralhealth-data.dhcs.ca.gov/</a> for access to dashboards utilizing these datasets and other behavioral health data.",2023
Adults with Diabetes Per 100 (LGHC Indicator),California Department of Public Health,2023-12-04 23:11:38.439877,2026-04-14T18:13:14.572239,3,"This is a source dataset for a Let's Get Healthy California indicator at ""https://letsgethealthy.ca.gov/. This table displays the prevalence of diabetes in California. It contains data for California only. The data are from the California Behavioral Risk Factor Surveillance Survey (BRFSS). The California BRFSS is an annual cross-sectional health-related telephone survey that collects data about California residents regarding their health-related risk behaviors, chronic health conditions, and use of preventive services.  The BRFSS is conducted by Public Health Survey Research Program of California State University, Sacramento under contract from CDPH. This prevalence rate does not include pre-diabetes, or gestational diabetes. This is based on the question: ""Has a doctor, or nurse or other health professional ever told you that you have diabetes?"" The sample size for 2014 was 8,832. NOTE: Denominator data and weighting was taken from the California Department of Finance, not U.S. Census. Values may therefore differ from what has been published in the national BRFSS data tables by the Centers for Disease Control and Prevention (CDC) or other federal agencies.",2023
Adults Meeting Physical Activity Guidelines (LGHC Indicator),California Department of Public Health,2025-03-25 18:12:35.900208,2026-04-14T18:13:16.009729,3,"This is a source dataset for a Let's Get Healthy California indicator at https://letsgethealthy.ca.gov/. This table displays the percentage of adults meeting Aerobic Physical Activity guidelines in California. It contains data for California only. The data are from the California Behavioral Risk Factor Surveillance Survey (BRFSS). The California BRFSS is an annual cross-sectional health-related telephone survey that collects data about California residents regarding their health-related risk behaviors, chronic health conditions, and use of preventive services. The BRFSS is conducted by the Public Health Survey Research Program of California State University, Sacramento under contract from CDPH.
The column percentages are weighted to the 2010 California Department of Finance (DOF) population statistics. Population estimates were obtained from the CA DOF for age, race/ethnicity, and sex.  Values may therefore differ from what has been published in the national BRFSS data tables by the Centers for Disease Control and Prevention (CDC) or other federal agencies.",2025
Adult Population – Performance Dashboard,California Department of Health Care Services,2023-10-12 16:07:55.925294,2026-04-14T16:12:45.039544,5,"The Performance Dashboard (formerly Performance Outcomes System) datasets are developed to improve outcomes and inform beneficiaries who receive Medi-Cal Specialty Mental Health Services (SMHS). The intent of the dashboard is to gather information relevant to particular mental health outcomes, which will provide useful summary reports to help ensure ongoing quality improvement and to support decision making. Please note: the Excel file Performance Dashboard has been discontinued and replaced with the SMHS Performance Dashboards found on [Behavioral Health Reporting (ca.gov)](https://behavioralhealth-data.dhcs.ca.gov/).",2023
Adult Cigarette and Tobacco Use Prevalence,California Department of Public Health,2023-12-08 18:03:05.286046,2026-04-14T18:13:18.091638,3,"This dataset contains two data files: 1) Adult cigarette use prevalence and 2) Adult tobacco use prevalence in California.  Tobacco use includes cigarettes, cigars, little cigars or cigarillos, pipe tobacco, smokeless tobacco (e.g. chew, snuff, snus), hookah, or electronic smoking devices (e.g. e-cigarettes, vape pens, pod mods). See the individual file description for more information on each data file.

The California Behavioral Risk Factor Surveillance System (BRFSS) is an on-going telephone survey of randomly selected adults, which collects information on a wide variety of health-related behaviors, including current cigarette and tobacco usage. Data are collected monthly from a random sample of the California population aged 18 years and older. The BRFSS has been conducted since 1984 by the California Department of Public Health in collaboration with the Centers for Disease Control and Prevention (CDC).",2023
Acute Care Hospital Transfers by Major Diagnostic Category (MDC),Department of Health Care Access and Information,2024-01-09 07:15:12.583461,2026-04-14T07:21:23.371100,7,"The three datasets (i.e., Transfer-Encounters, Transfer-Outcomes, Transfer-Locations) provide the number of hospital transfers and Major Diagnostic Categories (MDCs). The Transfer-Encounters Dataset provides transfer counts by patient characteristics (i.e., Race/Ethnicity, Language Group, Expected Payer, Age Group and Assigned Sex at Birth) for each MDC. The Transfer-Outcomes shows the transfer outcomes (i.e., Median Length of Stay, Percent of Leaving Against Medical Advice and Percent of Inpatient Death) by MDC. The Transfer-Location dataset shows the locations of Acute Care Hospitals which received at least 25 transfers by MDC.",2024
ABCD 350: Annual Recipient Report,California Department of Social Services,2022-06-22 23:27:33.033504,2026-04-14T06:27:35.945428,4,"The Annual Recipient Report (ABCD 350) includes data on the ethnic origins and primary languages of recipients of CalWORKs, Foster Care (FC), Social Services, Non-Assistance CalFresh (NACF), CalWORKs Welfare-to-Work (WTW), Refugee Cash Assistance (RCA), and the Cash Assistance Program for Immigrants (CAPI).",2022
"Abortion-Related Services Funded by Medi-Cal, Calendar Years 2014-2023",California Department of Health Care Services,2023-08-11 01:22:22.961386,2026-04-14T16:12:47.289887,11,"The following tables summarize abortion-related services funded by Medi-Cal, by delivery system and demographic characteristics from calendar year (CY) 2014 to the most recent reportable CY. The number of abortion-related services are summarized by health care delivery system and county; health care delivery system and age group; health care delivery system and aid group; and age group and race/ethnicity. Expenditures are also summarized for abortion-related services claims submitted to the fee-for-service (FFS) delivery system.  Federal funding is generally not available for abortion-related services; therefore, abortion-related services are financed with state funds only.",2023
FTB EITC Summary of CA Residents Sept 2025,California Franchise Tax Board,2025-11-06 17:43:38.086332,2025-11-06T17:44:25.141732,1,"Produced by the Economic & Statistical Research Bureau, monthly tabulations of tax filings statistics for the Earned Income Tax Credit (EITC), Young Child Tax Credit (YCTC) and Foster Youth Tax Credit (FYTC) provide credit use by county, preparer type, credit amount allowed number of dependents and a many other useful cross-sections.",2025
FTB EITC Summary of CA Residents Year Comparison Sept 2025,California Franchise Tax Board,2025-11-06 17:37:57.724503,2025-11-06T17:39:08.407218,1,"Produced by the Economic & Statistical Research Bureau, monthly tabulations of tax filings statistics for the Earned Income Tax Credit (EITC), Young Child Tax Credit (YCTC) and Foster Youth Tax Credit (FYTC) provide credit use by county, preparer type, credit amount allowed number of dependents and a many other useful cross-sections.",2025
"Vegetation - Modoc Plateau - Devil's Garden, Adin Mountains, Jess Valley [ds2910]",California Department of Fish and Wildlife,2025-01-31 07:01:08.555666,2026-04-14T04:22:02.947320,8,"<div style='text-align:Left;'><div><div><p><span>CSU Chico's Geographical Information Center (GIC), with assistance from CDFW's Vegetation Classification and Mapping Program (VegCAMP) created a fine-scale vegetation and land use map of portions of the Modoc Plateau in California. The map follows the National Vegetation Mapping Classification standards as well A Manual of California Vegetation and covers the eco-region subsections Devil’s Garden and Adin Mountains. This map covers approximately 855,998 acres in Lassen and Modoc Counties. It was produced using a base of true-color 2018 one-meter National Agricultural Imagery Program (NAIP) imagery. Polygons were assessed for vegetation types, percent covers, clearing disturbance, invasive plant cover and other attributes. The minimum mapping unit for standard vegetation polygons, agriculture and urban areas and water are 1 acre, while for wetland and riparian areas, the MMU is 0.25 acres. Overall fuzzy map accuracy was 81.6%, but individual vegetation types varied in their accuracy. Please see the mapping report and the </span><a href='https://nrm.dfg.ca.gov/FileHandler.ashx?DocumentID=191827' style='text-decoration:underline;' rel='nofollow ugc'><span>contingency tables </span></a><span>for details to determine confidence in individual types. For detailed information please refer to the following reports: </span></p><p><span>Boul, R., T. Keeler-Wolf, J. Ratchford, T. Haynes, D. Hickson, R. Yacoub, B. Harbert, J. Evens. 2021. Classification of the Vegetation of Modoc and Lassen Counties, California. Vegetation Classification and Mapping Program, California Department of Fish and Wildlife, Sacramento, CA ; </span><a href='https://nrm.dfg.ca.gov/FileHandler.ashx?DocumentID=183030' style='text-decoration:underline;' rel='nofollow ugc'><span>https://nrm.dfg.ca.gov/FileHandler.ashx?DocumentID=183030</span></a></p><p><span>Kreb, Brian and Geographical Information Center, California State University, Chico. Mapping Standards, Field Data Collection, and Accuracy Assessment for Vegetation Mapping in Modoc and Lassen Counties, California. Califoria Department of Fish and Wildlife; 2/1/2021. </span><a href='https://nrm.dfg.ca.gov/FileHandler.ashx?DocumentID=189051' style='text-decoration:underline;' rel='nofollow ugc'><span>https://nrm.dfg.ca.gov/FileHandler.ashx?DocumentID=189051</span></a></p></div></div></div>",2025
Hoary Bat Range - CWHR M034 [ds1830],California Department of Fish and Wildlife,2025-01-31 07:00:44.749651,2026-04-14T04:22:04.874911,9,"<div style='text-align:Left;'><div><div><p style='margin:0 0 14 0;'><span><span>Vector datasets of CWHR range maps are one component of California Wildlife Habitat Relationships (CWHR), a comprehensive information system and predictive model for California's wildlife. The CWHR System was developed to support habitat conservation and management, land use planning, impact assessment, education, and research involving terrestrial vertebrates in California. CWHR contains information on life history, management status, geographic distribution, and habitat relationships for wildlife species known to occur regularly in California. Range maps represent the maximum, current geographic extent of each species within California. They were originally delineated at a scale of 1:5,000,000 by species-level experts and have gradually been revised at a scale of 1:1,000,000. For more information about CWHR, visit the CWHR webpage (</span><a href='https://www.wildlife.ca.gov/Data/CWHR' style='text-decoration:underline;' rel='nofollow ugc'><span>https://www.wildlife.ca.gov/Data/CWHR</span></a><span>). The webpage provides links to download CWHR data and user documents such as a look up table of available range maps including species code, species name, and range map revision history; a full set of CWHR GIS data; .pdf files of each range map or species life history accounts; and a User Guide.</span></span></p></div></div></div>",2025
Granite Spiny Lizard Range - CWHR R021 [ds1728],California Department of Fish and Wildlife,2025-01-31 07:00:37.749058,2026-04-14T04:22:06.424444,9,"<div style='text-align:Left;'><div><div><p style='margin:0 0 14 0;'><span><span>Vector datasets of CWHR range maps are one component of California Wildlife Habitat Relationships (CWHR), a comprehensive information system and predictive model for California's wildlife. The CWHR System was developed to support habitat conservation and management, land use planning, impact assessment, education, and research involving terrestrial vertebrates in California. CWHR contains information on life history, management status, geographic distribution, and habitat relationships for wildlife species known to occur regularly in California. Range maps represent the maximum, current geographic extent of each species within California. They were originally delineated at a scale of 1:5,000,000 by species-level experts and have gradually been revised at a scale of 1:1,000,000. For more information about CWHR, visit the CWHR webpage (</span><a href='https://www.wildlife.ca.gov/Data/CWHR' style='text-decoration:underline;' rel='nofollow ugc'><span>https://www.wildlife.ca.gov/Data/CWHR</span></a><span>). The webpage provides links to download CWHR data and user documents such as a look up table of available range maps including species code, species name, and range map revision history; a full set of CWHR GIS data; .pdf files of each range map or species life history accounts; and a User Guide.</span></span></p></div></div></div>",2025
Red-Necked Phalarope Range - CWHR B655 [ds1698],California Department of Fish and Wildlife,2025-01-31 07:00:23.334401,2026-04-14T04:22:07.894140,9,"<div style='text-align:Left;'><div><div><p style='margin:0 0 14 0;'><span><span>Vector datasets of CWHR range maps are one component of California Wildlife Habitat Relationships (CWHR), a comprehensive information system and predictive model for California's wildlife. The CWHR System was developed to support habitat conservation and management, land use planning, impact assessment, education, and research involving terrestrial vertebrates in California. CWHR contains information on life history, management status, geographic distribution, and habitat relationships for wildlife species known to occur regularly in California. Range maps represent the maximum, current geographic extent of each species within California. They were originally delineated at a scale of 1:5,000,000 by species-level experts and have gradually been revised at a scale of 1:1,000,000. For more information about CWHR, visit the CWHR webpage (</span><a href='https://www.wildlife.ca.gov/Data/CWHR' style='text-decoration:underline;' rel='nofollow ugc'><span>https://www.wildlife.ca.gov/Data/CWHR</span></a><span>). The webpage provides links to download CWHR data and user documents such as a look up table of available range maps including species code, species name, and range map revision history; a full set of CWHR GIS data; .pdf files of each range map or species life history accounts; and a User Guide.</span></span></p></div></div></div>",2025
Baird's Sandpiper Range - CWHR B648 [ds1696],California Department of Fish and Wildlife,2025-01-31 07:00:36.731430,2026-04-14T04:22:08.934680,9,"<div style='text-align:Left;'><div><div><p style='margin:0 0 14 0;'><span><span>Vector datasets of CWHR range maps are one component of California Wildlife Habitat Relationships (CWHR), a comprehensive information system and predictive model for California's wildlife. The CWHR System was developed to support habitat conservation and management, land use planning, impact assessment, education, and research involving terrestrial vertebrates in California. CWHR contains information on life history, management status, geographic distribution, and habitat relationships for wildlife species known to occur regularly in California. Range maps represent the maximum, current geographic extent of each species within California. They were originally delineated at a scale of 1:5,000,000 by species-level experts and have gradually been revised at a scale of 1:1,000,000. For more information about CWHR, visit the CWHR webpage (</span><a href='https://www.wildlife.ca.gov/Data/CWHR' style='text-decoration:underline;' rel='nofollow ugc'><span>https://www.wildlife.ca.gov/Data/CWHR</span></a><span>). The webpage provides links to download CWHR data and user documents such as a look up table of available range maps including species code, species name, and range map revision history; a full set of CWHR GIS data; .pdf files of each range map or species life history accounts; and a User Guide.</span></span></p></div></div></div>",2025
Wood Stork Range - CWHR B603 [ds1692],California Department of Fish and Wildlife,2025-01-31 07:00:30.541264,2026-04-14T04:22:10.085250,9,"<div style='text-align:Left;'><div><div><p style='margin:0 0 14 0;'><span><span>Vector datasets of CWHR range maps are one component of California Wildlife Habitat Relationships (CWHR), a comprehensive information system and predictive model for California's wildlife. The CWHR System was developed to support habitat conservation and management, land use planning, impact assessment, education, and research involving terrestrial vertebrates in California. CWHR contains information on life history, management status, geographic distribution, and habitat relationships for wildlife species known to occur regularly in California. Range maps represent the maximum, current geographic extent of each species within California. They were originally delineated at a scale of 1:5,000,000 by species-level experts and have gradually been revised at a scale of 1:1,000,000. For more information about CWHR, visit the CWHR webpage (</span><a href='https://www.wildlife.ca.gov/Data/CWHR' style='text-decoration:underline;' rel='nofollow ugc'><span>https://www.wildlife.ca.gov/Data/CWHR</span></a><span>). The webpage provides links to download CWHR data and user documents such as a look up table of available range maps including species code, species name, and range map revision history; a full set of CWHR GIS data; .pdf files of each range map or species life history accounts; and a User Guide.</span></span></p></div></div></div>",2025
Bendire's Thrasher Range - CWHR B396 [ds966],California Department of Fish and Wildlife,2025-01-31 07:07:16.431134,2026-04-14T04:22:11.180276,9,"<div style='text-align:Left;'><div><div><p style='margin:0 0 14 0;'><span><span>Vector datasets of CWHR range maps are one component of California Wildlife Habitat Relationships (CWHR), a comprehensive information system and predictive model for California's wildlife. The CWHR System was developed to support habitat conservation and management, land use planning, impact assessment, education, and research involving terrestrial vertebrates in California. CWHR contains information on life history, management status, geographic distribution, and habitat relationships for wildlife species known to occur regularly in California. Range maps represent the maximum, current geographic extent of each species within California. They were originally delineated at a scale of 1:5,000,000 by species-level experts and have gradually been revised at a scale of 1:1,000,000. For more information about CWHR, visit the CWHR webpage (</span><a href='https://www.wildlife.ca.gov/Data/CWHR' style='text-decoration:underline;' rel='nofollow ugc'><span>https://www.wildlife.ca.gov/Data/CWHR</span></a><span>). The webpage provides links to download CWHR data and user documents such as a look up table of available range maps including species code, species name, and range map revision history; a full set of CWHR GIS data; .pdf files of each range map or species life history accounts; and a User Guide.</span></span></p></div></div></div>",2025
Stream Inventory Reports by Watershed - CDFW [ds937],California Department of Fish and Wildlife,2025-01-31 06:59:54.030089,2026-04-14T04:22:12.405019,8,"<div style='text-align:Left;'><div><div><p><span>In-stream habitat data include measurements of a variety of physical and aquatic stream attributes that collectively reveal a great deal about stream condition for salmonids and trout. Characterizing and inventorying the physical conditions that define stream habitat for salmonids is an important part of the habitat restoration process. The California Department of Fish and Wildlife (CDFW) collects data on a number of physical attributes of streams and classifies these streams by one of several habitat types. The in-stream habitat data collection process involves two distinct steps; identifying channel type and assigning a habitat type. These in-stream habitat data are used for a variety of purposes including analysis of stream suitability for supporting salmonid populations, as part of larger and more complex watershed assessments, and to establish baseline conditions against which future assessments can measure change. They are a critical part of determining restoration priorities and identifying salmonid refugia. The California Salmonid Stream Habitat Restoration Manual published by the CDFW, describes the process of using in-stream habitat data and other data and information for identifying streams with restoration potential and working through the stream restoration process.The objective of stream inventory reports are to document the current habitat conditions and recommend options for the potential enhancement of salmonid habitat. Recommendations for habitat improvement activities are based upon target habitat values suitable for salmonids in California's streams.</span></p></div></div></div>",2025
